Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Tranquility Blooms,Matthew Gribbins,Self-published,Free,,1,up to 20 minutes,8+,Gardening,Tile Placement,Pattern building,LIGHT,,,Simple Cuts (a few cards or tiles),"Become a master gardener, arranging flower tiles to create patterns.","Quick and Easy to Set Up: All you need to get started are six sheets of paper, a pair of scissors, and a small play area (about 24"" x 24""). The rules are concise and printed on just one page (front and back), so you’ll be ready to play in no time! Accessible for All: Designed for players aged 8 and up and fully accessible for those with color blindness. Compact and Portable: Tranquility Blooms' portability makes it easy to enjoy a quick game wherever you are. All components, including the rules, will fit in a mint tin or gum container. Multiple Ways to Play: 1. Beat Your Own Score (BYOS): Challenge yourself to achieve higher scores each time you play. 2. Campaign Mode: Play through a series of games with different goals, aiming for the highest cumulative score. It's perfect for players who love to see their skills grow over multiple sessions. 3. Solo Challenges: If you prefer specific objectives over score-chasing, Solo Challenges provide a variety of unique tasks.",https://boardgamegeek.com/thread/3218607/wip-tranquility-blooms-2024-solitaire-pnp-contest,,"65 tiles, 18 goal cards, 2 scorecards, rules",,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/1R4Cjxsuy18gA6kJhLZ0.jpeg,,help@pnpfinder.com
Minos: Daedalus' Labyrinth,Denis Phoenix,Medusa Gaming,Name your price,,1,up to 120 minutes,10+,Mythology,Puzzle Solving,Tile Placement,MEDIUM,,,Simple Cuts (a few cards or tiles),Solo maze-solving puzzle rooted in Greek mythology,"Minos is a solo print-and-play maze-solving game of logic and deduction rooted in Greek mythology. Escape Daedalus’ labyrinth by deciphering Ariadne’s clues and uncovering the meaning behind Gods’ symbols you encounter along the way. The maze will soon reveal itself far more intricate than it first appears; only those who heed the whispers within its walls will will find their way out. Minos guides players through its mechanics and concepts organically, allowing them to get immersed in the maze, experiment with its secrets, and navigate their path to freedom.",https://medusagaming.itch.io/minos,,,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/xMD0e58RJDgP20LYhffP.png,,help@pnpfinder.com
The Secret of Langton Manor - Episode 1: Legacy,bromelain.mobi,bromelain.mobi,Free,,1-4,up to 120 minutes,16+,Horror / Supernatural,Puzzle Solving,"Escape Room, Exploration, Code Cracking, Hidden Clues",LIGHT,,,Quick Print (no crafting required),Escape a mysterious 1922 manor by solving puzzles and uncovering secrets!,"In ""The Secret of Langton Manor - Episode 1: Legacy,"" you and your fellow players are invited to a grand yet mysterious 1922 English manor by your friend John, who recently inherited the estate. Upon arrival, the butler, Samuel, locks you inside, and John is nowhere to be found. As you explore the abandoned rooms, you uncover strange notes, eerie portraits, and unsettling clues that hint at dark secrets hidden within the manor’s walls. This print-and-play escape room challenges you to solve 10 puzzles, each unlocking new layers of the manor's mystery. Using a mix of logic, hidden objects, and cryptic codes, players must work together to solve puzzles, unlock doors, and piece together the truth behind John's disappearance and the enigmatic butler. With a unique blend of narrative and puzzles, ""Legacy"" offers 1-2 hours of immersive escape room gameplay, setting the stage for deeper mysteries in later episodes.",https://bromelain.itch.io/the-secret-of-langton-manor,,13 Game Pages,"Pens & Pencils, Free Mobile App",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/pY3XPGP8VKhDn1jb5Tm5.png,,help@pnpfinder.com
The Secret of Langton Manor - Episode 2: Roots,bromelain.mobi,bromelain.mobi,Paid,$3.99,1-4,up to 120 minutes,16+,Horror / Supernatural,Puzzle Solving,"Escape Room, Exploration, Code Cracking, Hidden Clues",LIGHT,,,Quick Print (no crafting required),Solve puzzles to uncover ancient secrets beneath the manor's strange tree.,"In ""The Secret of Langton Manor - Episode 2: Roots,"" the mystery deepens as you descend into the manor's basement, where a massive, ancient tree has intertwined itself with the very foundation of the house. Through a series of 10 new puzzles, you’ll uncover clues about the manor’s past, including archaeological logs from an 1842 expedition to Mesopotamia led by the previous owner, Arthur Rutherford, and his butler, Samuel—who seems unchanged after 80 years. Players will also discover artifacts, like a headless doll tied to the tragic story of the Rutherford family. As you explore the dark corners of the basement, you’ll have to solve puzzles involving cryptic symbols, hidden objects, and encoded messages to uncover the ancient secrets buried within the tree. With each clue, the connection between the house’s past and its present becomes more unsettling, setting the stage for even greater revelations.",https://bromelain.itch.io/the-secret-of-langton-manor-episode-2,,13 Game Pages,"Pens & Pencils, Free Mobile App",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/ZyCjYljMUq2lldQxf8zU.png,,help@pnpfinder.com
Peep War,Jonathan Leistiko & Jeremy Bushnell,Invisible City Productions,Free,,2+,up to 60 minutes,10+,War / Wargame,Area Control / Area Majority / Territory Control,bead bag,LIGHT,,,Simple Cuts (a few cards or tiles),Claim territory and defeat your enemies in the world's first edible wargame!,"Use your jellybeans and marshmallow Peeps to seize 80% of the supply centers in a playing field, or to be the last player remaining in the game. Combat is resolved by putting all jellybeans involved in the combat in a plastic egg and drawing one at random.",https://invisible-city.com/content/peep-war-2005-revision,,"Board tiles, rules","jellybeans, Peeps, plastic eggs",English,2005,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/kgQw9erqIP3fC3peejHg.png,,help@pnpfinder.com
The Secret of Langton Manor - Episode 3: Shadows,bromelain.mobi,bromelain.mobi,Paid,$3.99,1-4,up to 120 minutes,16+,Horror / Supernatural,Puzzle Solving,"Escape Room, Exploration, Code Cracking, Hidden Clues",LIGHT,,,Quick Print (no crafting required),Solve puzzles tied to an ancient serpent as the manor’s mysteries deepen.,"In ""The Secret of Langton Manor - Episode 3: Shadows,"" the mystery intensifies as players continue to explore the eerie estate. This time, you uncover more sinister secrets hidden within the manor, including cryptic connections to ancient mythology. As you progress through 10 new puzzles, you encounter strange visions, a serpent medallion, and disturbing reflections that suggest supernatural forces at play. The discovery of a serpent, inspired by the myth of the Huluppu tree from Mesopotamian legend, hints at a deeper and more dangerous power lurking within the manor. With each puzzle solved, the story weaves between the present and the past, leading you closer to the truth behind the manor’s history and the strange events that have plagued its inhabitants. As the shadows grow, so does the danger, pushing you to solve the puzzles and reveal the dark forces entwined with Langton Manor.",https://bromelain.itch.io/the-secret-of-langton-manor-episode-3,,12 Game Pages,"Pens & Pencils, Free Mobile App",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/VoSE5SxdiSstNMdIDtc3.png,,help@pnpfinder.com
Runaround,Jonathan Leistiko,Invisible City Productions,Free,,2,up to 20 minutes,10+,Racing,Place Swapping,roll and move,LIGHT,,,Quick Print (no crafting required),Parchisi with a twist for two players looking to pass some time.,Be the first player to get 5 “runs” by passing a piece over your starting space 5 times.,https://invisible-city.com/content/runaround,,"Rules, board","Five pawns per player (10 total), 1d6",English,2007,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/6FbwpzmUziyWbA6lBaG8.png,,help@pnpfinder.com
16 Memories,Jonathan Leistiko,Invisible City Productions,Free,,2+,up to 30 minutes,10+,Puzzle,Memory,,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Test your memory against your friends in this party game.,Players take turns trying to recall different tiles from a set of sixteen tiles in several different memory challenges.,https://invisible-city.com/content/16-memories,,"Rules, board, tiles, play sheets","Pencils, one pawn, 1d6, timer (optional)",English,2008,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/LX4dmRODAK8CeQ3DTtrd.png,,help@pnpfinder.com
The World In My Pocket,Jonathan Leistiko,Invisible City Productions,Free,,1,up to 120 minutes,10+,Civilization Building,Flip & Write / Roll & Write,resource management,MEDIUM,,,Simple Cuts (a few cards or tiles),An exploration and building game for one civ-building enthusiast,"Fold up your little origami world, then explore it and build. Do this by spending resources to build structures in regions. At the start of each turn, you semi-randomly select a region to activate. When you activate a region, each structure in that region gathers resources, then you can build in that region if you choose to.",https://invisible-city.com/content/world-my-pocket,,"Rules, origami play board, rules reference",Pen (ideally multicolored),English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Dtkv39pAtpZ7uQn7Q4f4.png,,help@pnpfinder.com
Bring Your Own Dice,Jonathan Leistiko,Invisible City Productions,Free,,1-100,up to 20 minutes,10+,Abstract,Flip & Write / Roll & Write,variable player powers,LIGHT-MEDIUM,,,Quick Print (no crafting required),A die-pool-driven points race for 2+  die rollers with optional solo rules.,"Bring Your Own Dice is a quick-playing points race for two or more players where you build your own die pool, but only your highest-scoring die scores each round. Your non-scoring dice may trigger additional effects if you're lucky and if you bought them. The primary audience for this game is tabletop RPG players with entirely too many polyhedral dice who are sitting around waiting for the game to start, looking for something to do. A mild bonus: You don't have to be in the same room to play, so you can play this while waiting for a Zoom/Discord game to start.",https://invisible-city.com/content/bring-your-own-dice,,"Rules, play sheets",Lots of polyhedral dice,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/9wM64xrksoTVh4m5DGDG.jpg,,help@pnpfinder.com
"Bounce, Hop, & Crash",Jonathan Leistiko,Invisible City Productions,Free,,2+,up to 30 minutes,10+,Racing,Flip & Write / Roll & Write,territory control?,LIGHT-MEDIUM,,,Quick Print (no crafting required),A roll-and-write light-cycle maze race variant for two to six risk-takers.,"Gain points by tagging other players’ bases and the center, and by outlasting other players. During play, you’ll pick a die that’s been rolled and move that many spaces, leaving a trail behind you. You can hop over these trails, but you can’t end your turn on them (or where another player is). All players in the game gain a point when an opponent is eliminated. Eliminated players become grid banshees who earn points by laying traps for the other players (predicting where they’ll end their turn). The game ends when there’s one or no non-banshee players left or after 14 rounds. High score wins.",https://invisible-city.com/content/bounce-hop-crash,,Play sheet,"pens, a full set of polyhedral dice",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/50WpNIks7USpmi0Y3KPu.png,,help@pnpfinder.com
W.A.R (Write and Roll): Powers & Points,Jonathan Leistiko,Invisible City Productions,Free,,2+,up to 20 minutes,10+,Abstract,Flip & Write / Roll & Write,Tableau building,LIGHT-MEDIUM,,,Quick Print (no crafting required),A quick simultaneous roll-and-write game for 2 players (variant for 3+).,"End the game with the most points. Do this by selecting (and building up) useful special powers, countering your opponents’ strategies, and predicting and investing in “point mines.” Will you play it safe and invest in the most likely results, take risks and hope for a big payout, or split the difference? Success depends on good strategy; balancing attack, defense, and growth; and a splash of luck.",https://invisible-city.com/content/write-and-roll-%E2%80%93-powers-%E2%80%98n-points-war-pnp,,"Rules, play sheets","2d6, a pencil for each player",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/3cpAVBJOJ8ez8ezdQatA.png,,help@pnpfinder.com
Waiting For The Game To Start,Jonathan Leistiko,Invisible City Productions,Free,,1-100,up to 20 minutes,10+,Abstract,Flip & Write / Roll & Write,Set collection,LIGHT,,,Quick Print (no crafting required),A roll-and-write for one or more (slightly) bored gamers.,"Story/Context: It’s game night. You’re there a little early and you’re waiting for the game to start. You’ve got at least one set of polyhedral dice, yeah? Here’s a quick and easy roll-and-write game for any number of players. Object: End the game with the most points by making runs (3, 4, 5, etc.) or sets (3, 3, 3) of at least three dice by keeping and re-rolling dice three times per round. The gimmick is that everyone uses the same dice and the same re-roll.",https://invisible-city.com/content/waiting-game-start,,"Rules, play sheets","a pencil for each player, a full set of polyhedral dice",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/WfU2LClNRf1g2H0briaO.png,,help@pnpfinder.com
"VENNi, Vidi, Vici",Jonathan Leistiko,Invisible City Productions,Free,,2,up to 20 minutes,10+,Abstract,Area Control / Area Majority / Territory Control,pen and paper,MEDIUM,,,Quick Print (no crafting required),A pen-and-paper game for two territorial space-makers.,Claim territory by drawing intersecting circles to split the board to your advantage.,https://invisible-city.com/content/venni-vidi-vici,,Rules,"paper, a different pen for each player",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/QT7A0bnp12BHYagm8Gdn.jpeg,,help@pnpfinder.com
UpTower,Jonathan Leistiko,Invisible City Productions,Free,,1-100,up to 20 minutes,10+,Abstract,Flip & Write / Roll & Write,Polyomino stacking,LIGHT-MEDIUM,,,Quick Print (no crafting required),"Multiplayer competitive Tetris, as a roll-and-write.","End the game with the most points. You'll do this by making a tower that strikes the right balance of height and width. At the end of the game, you'll score the single floor in your tower that's worth the most points, plus a special bonus. The value of a floor is the number of blocks it has, multiplied by its level (how far it is from the bottom). For example, if the 7th floor has 9 blocks in it, it's worth (7 times 9) 63 points. The special bonus depends on saving a special resource; the rules explain this in depth.",https://invisible-city.com/content/uptower,,One play sheet per playe,"1d6, a pen for each player",English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/vdNBCAUoy6FFeGfxarlU.png,,help@pnpfinder.com
Handy Brawl,Igor Zuber,self-published,Free,,1,up to 20 minutes,10+,Fantasy,Hand Management,Action Selection,MEDIUM,,,Quick Print (no crafting required),Hero fights vile monsters in an epic solo in-hand card management brawls.,"Fully deterministic - shuffle once during setup and the rest is up to you (although I can't predict more than 5 moves)! Great replayability - lots of possible openings for the same monster-hero pairs. If you're bored, change your Hero, Monster or both and have a completely different experience! Minimal requirements, great depth - each playthrough features only 9 card, but those 9 cards will give you a headache! No dexterity elements required - all you need to do is keep 9 cards in a stack, so as they don't fall on the ground, bonus points for being able to fan them! Well-thought saving mechanism - just stop at any time and put the cards as they are in your pocket or wallet! Quick - a single game can take you as little as 5 minutes (if you don't want to win)! Great graphics design and arts (non-existent yet)! Story-rich - break skulls, set traps and kill powerful foes. Personal experience depends on your (lack) of imagination!",https://boardgamegeek.com/boardgame/362692/handy-brawl/files,,"Double-sided Cards, Rulebook",-,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Y0hKtQEFocMVi7UTX8qc.webp,IN-HAND GAMES,help@pnpfinder.com
At the Wedding Table,Igor Zuber,self-published,Free,,1-2,up to 10 minutes,10+,Wedding,Card Play,Tile Placement / Tile Rearrangement,LIGHT,,,Simple Cuts (a few cards or tiles),Sit guests at your on wedding in a silly and cute game about stereotypes!,"A 2-player, 18-cards game about sitting guests at your own wedding. Players take turns to place one of the three available double-sided guest cards in a shared tableau, with each guest having their own preferences regarding their neighbors. The game ends after the table is full. The winner is the player whose guests scored more points total (whose guests had more fun at the wedding)! Solo mode with beat your own score type included.",https://drive.google.com/drive/folders/1loKFbkNYsPLxvFlyKGnAKwx9jvoklw6_?usp=sharing,,"Double-sided Cards, Rulebook",,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/mj2y2jX9qZRogM1atGhU.webp,,help@pnpfinder.com
ROVE: Results-Oriented Versatile Explorer,"Dustin Dobson, Milan Zivkovic",Button Shy,Paid,$3,1,up to 20 minutes,8+,Science Fiction,Grid Movement,,MEDIUM,,,Simple Cuts (a few cards or tiles),ROVE is a solo spatial puzzle game using only 18 cards.,"n each game of ROVE, the player will face a series of mishaps that can only be solved by arranging the 6 module cards in a specific pattern. Moving a module requires Movement Points gained by discarding cards from hand for the listed amount. Players may gain additional Points if their current module layout matches the pattern shown on the discarded card.",https://www.pnparcade.com/products/rove,,"18 Cards, Rulebook",None,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/XFFRXSOcPKZlLXBgiZXb.webp,2024 PNP HIDEAWAY TOP 10,help@pnpfinder.com
ROVE Jr: Results-Oriented Versatile Explorer,"Dustin Dobson, Milan Zivkovic",Button Shy,Paid,$3,1,up to 20 minutes,5+,Science Fiction,Grid Movement,,LIGHT,,,Simple Cuts (a few cards or tiles),A much simpler version of ROVE for a younger audience.,"A much simpler version of ROVE for a younger audience, entry level solo players, or for anyone that wants just a taste of the ROVE gameplay.",https://www.pnparcade.com/products/rove-jr,,"18 Cards, Rulebook",None,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/fNUFGsXzlkX6Bs87OBOx.webp,,help@pnpfinder.com
Aqua ROVE: Results-Oriented Versatile Explorer,"Dustin Dobson, Milan Zivkovic",Button Shy Games,Paid,$3,1,up to 20 minutes,8+,Science Fiction,Grid Movement,,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),A solo spatial puzzler in only 18 cards.,"Aqua ROVE is a standalone entry in the ROVE series. In this solo spatial puzzler, the player must complete missions by using their movement cards to align ROVE’s modules in the proper pattern. Each module has a unique one-time ability that can give ROVE a much-needed boost at a key moment. As ROVE travels further, efficient use of movement points and module abilities becomes paramount to achieve success.",https://www.pnparcade.com/products/aqua-rove,,"18 Cards, Rulebook",None,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/DUcsUZ3awHZMEIsQ9FW9.webp,,help@pnpfinder.com
Skulls Of Sedlec,Dustin Dobson,Button Shy Games,Paid,$3,1,up to 20 minutes,8+,Horror / Supernatural,Puzzle Solving,Deduction,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),"You are novice monks, competing to create the best arrangement of skulls.","You are novice monks, competing to create the best arrangement of skulls. Dig up graves from the graveyard to reveal cards, take cards into your hand to collect skulls, and arrange the cards from your hand into a stack. Whoever better honors the deceased’s last wishes will score more points. The Bone Collector will then declare one player's stack as the most exceptional.",https://www.pnparcade.com/products/skulls-of-sedlec,,"18 Cards, Rulebook",None,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/8i4P9NgOxv5HC3tCOvIf.webp,2025 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Paw of Duty,Derrick Hwang,Self-Published,Paid,$3.00,2,up to 60 minutes,8+,Animals / Nature,Action Selection,Grid Movement,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Command a kitty squad to regain control of a war-torn city.,"Paw of Duty is a two player non-collectible card game of tactical kitty warfare, where each player commands a kitty squad to regain control of a war-torn city. Players will choose and deploy feline Huntress, Pilot, and Tank units into the battlezone each turn. Commands are issued to units using Tactic Cards, allowing players to control key spaces and capture enemy kitties with clever use of the position-based combo system. Win the game through superior unit placement, or focus on capturing the enemy's units to amass end-game victory points.",https://sunseteer.itch.io/paw-of-duty,,"60 cards, 30 tokens",Game Board (optional),English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/WNckDtcqpekCWMsDg1zA.webp,,help@pnpfinder.com
Adamastor,Orlando Sá,Self Published,Free,,1-2,up to 20 minutes,12+,Travel / Exploration,Exploration,,MEDIUM-HEAVY,,,Simple Cuts (a few cards or tiles),You take the role of the Adventurous Captain in the Age of Discovery.,"Adamastor is a 1 to 2 players Co-operative game where you take the role of the Adventurous Captain of a Portuguese Vessel in the Age of Discovery. You have the choice of playing either a Historical Scenario (Vasco da Gama's trip to India), or a custom Scenario (where every game the map is different). In Adamastor, each round you will have to handle several threats in order to keep the order and prevent a mutiny that would end what could be a glorious journey. You must contend with adverse weather, unpredictable storms, and the unrest, fatigue, and disease that will spread among your crew as the voyage advances.",https://boardgamegeek.com/boardgame/228452/adamastor,,"54 Cards, Rulebook","5 Tokens and a ""ship""",English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/dQKqAK9axIh4vYOaxbsK.webp,,help@pnpfinder.com
"Hello, Dolly!",Pak Cormier,nestorgames,Free,,2,up to 20 minutes,8+,Animals / Nature,Grid Movement,,LIGHT-MEDIUM,,,Quick Print (no crafting required),Help Albert lead your sheep back home.,"A terrible storm has rumbled through the mountains, and Albert's sheep have all run away. Help lead them back home! Well, some of them anyway as you want to get the sheep that you tend home before the other player does. In Hello, Dolly!, each player owns nine sheep which each start the game on one of the 18 mountains that surround the valley. Albert the shepherd starts the game on a green clover space on the path that circles the valley. On a turn, the active player moves one of his sheep in a straight line until it hits either the edge of the board or another sheep; The player then moves Albert clockwise on the path as many spaces as the number of spaces moved by the sheep that turn. If after moving, the triangle where Albert is located has sheep on all three vertices, then Albert collects those sheep, removing them from the board and placing them on the path back to his barn. The player who first gets five of his sheep on the path to the barn wins!",https://boardgamegeek.com/filepage/69194/hello-dolly-the-game,,Board,9x2+1 pieces,"English, Spanish, German, Japanese, French",2010,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/WD5yAaCgea984AdBB9r0.jpg,,help@pnpfinder.com
Goblin Mountain,Roman Flückiger,,Free,,1-2,up to 20 minutes,12+,Dungeon Crawl,Point-to-Point Movement,,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),"Make your way to the exit safe, with a big treasure.","""Your group of adventurers barely entered the labyrinthine tunnels of Goblin Mountain when the inevitable happens: you get lost and the goblins get wind of your presence. Time to find a way out fast and, of course, fill your pockets with every gem and coin you can get your hands on on the way. And don't forget to stick together! Because bad things happen when you split up the group... always!"" Goblin Mountain is a competitive dice-placement game, where 2 players take turns to move their adventurers (dice) through a linear dungeon and maximize treasure and fame while trying to make it to the exit without getting caught by the goblins.",https://boardgamegeek.com/filepage/163951/goblin-mountain-pnp-cards-v122,,9 double-sided cards,"8 six-sided dice (2 orange, 2 yellow, 2 black, 2 blue) 9 cubes (2 orange, 2 yellow, 2 green, 3 blue) 1 pawn (solo mode only)",English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/GALBQvsryklaMrRZQswJ.jpg,,help@pnpfinder.com
First Snow,Tomáš Uhlíř,,Free,,2,up to 60 minutes,10+,Cultural Heritage,Worker Placement,,MEDIUM,,,Simple Cuts (a few cards or tiles),Feed your Inuit and keep him warm when the winter comes.,"Every round players build a new landscape out of the land cards. Every land card is divided in half, so you do not choose a single card, but you have to combine two of them to form the complete location for your camp. At the start of the round, players secretly send their polar bear to one of the land cards and since you try to avoid the bear and want to get the best card at the same time, it brings a small bluffing aspect to the game. After completing the landscape, players resolve their camps. One of the camps serve as a ""day camp"" and the other as a ""night camp"" and each of them has a bit different purpose. While resolving a camp you can use all the resources shown on its location, but you have to fit them into your inventory to be able to use them later in the game. You can even build useful tools, but they take up space in your inventory as well. Scoring is resolved every round in your night camp and consists of feeding your Inuit and keeping him warm.",https://boardgamegeek.com/filepage/145990/cards-9-card-pnp-edition-2017,,9 double-sided cards,"8 dice (3 red, 3 blue, 2 white) 8 tokens (4 red, 4 blue)","English, Czech, Italian, French, Japanese",2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/fV1ZvgUfaErKfDff9JrC.jpg,,help@pnpfinder.com
Animo City,Aitor G. Guridi,,Free,,2+,up to 45 minutes,16+,City Building,Tile Placement,Card Play,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Real estate magnates build a city in disharmony.,"Animo City is a small card game that uses cards to delimit an imaginary board where a city will be developed. Building cards can be played face down as building lots, or face up to raise a building on a lot you already own. Spread too fast claiming lots and you won't have many options to react to what happens next. Spread too slow and other players will take the best spots first. At the end of the game, buildings are scored granting happiness and sadness points depending on specific conditions. Besides the name of this game being homonymous for ""animosity"", the word ""ánimo"" is Spanish for ""mood"".",https://boardgamegeek.com/filepage/227386/animo-city-full-game-english-version,,89 cards,40+20 tokens,"English, Spanish, Italian, French",2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/thEH3X8nulQdiwCZ4jwf.jpg,,help@pnpfinder.com
A Rusty Throne,Barny Skinner,Web published,Free,,1,up to 60 minutes,10+,Historical / War,Area Control / Area Majority / Territory Control,Card Play,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),Solo area control war game,"""A Rusty Throne"" is a fast-playing solitaire Card Driven Wargame set in a low fantasy realm, featuring an elegant player-influenced enemy AI with no book-keeping, and multi-use cards leading to difficult decisions. King Alric is mad, everyone knows that; a rusty mind on a rusty throne. As the heir to Prydon's northern highlands, the troubles of court are far away for you until the King has your father executed for a treason he didn't commit. Pledging to end his reign, you march to war. The other Lords of the land stand with the King for now; no matter, you will take their castles by force. The King has more men, more resources and more power, but you have friends at court, spies who can influence the King's military decisions. Perhaps that will be enough, if the flames of heaven will it. Deluxe version also available from PNParcade",https://boardgamegeek.com/boardgame/306906/a-rusty-throne/files,,20ish cards. A4 board,20 cubes in 2 colors,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/cqR5ql4PEKMsAjjlG9jm.png,,help@pnpfinder.com
Paiko,"Michael N. Irving, Marianne Waage",Catalyst Game Labs,Free,,2,up to 10 minutes,8+,Fantasy,Area Control / Area Majority / Territory Control,Tile Placement,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)","An abstract strategy game, encouraging fluid changes in tactics.","In Paiko, a one-on-one turn-based strategy game, your main objective is to spread out your tiles and block off your opponent's, with the capture of your opponent's tiles being a pleasant secondary objective. You win Paiko by earning 10 points, and you amass points by positioning your tiles in aggressive places on the board. You gain: • 0 points for tiles in the safety of your own homeground • 1 point for tiles in the even-footed middle ground • 2 points for tiles in your opponent's homeground. On your turn, you do one of three things: place a tile on the board, move a tile already on the board, or draw three more tiles of your choosing. You start the game with a hand of eight tiles (if white), or ten tiles (if black). Because Paiko has eight kinds of tiles, much strategy is involved in choosing your starting hand, and choosing when to spend time building your hand by drawing tiles.",https://boardgamegeek.com/boardgame/119782/paiko/files,,"Board, tiles, instructions.",,English,2012,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/FLMnwxSQUWVmUybQqov9.jpg,,help@pnpfinder.com
The Lucky Penny Diner,Stephen Davies,,Free,,2+,up to 45 minutes,8+,Food,Hand Management,,LIGHT,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Serve up fickle customers and try to make the most in tips!,"In The Lucky Penny Diner players are the waitstaff in a 24-hour diner, serving orders to guests, and trying to collect the most in tips. Cards are drafted into players' hands, then served to guests by laying the cards in an overlapping fashion beside them, representing how full they are getting. What you serve, when, and to whom factor into how well you are rewarded. Do you serve dessert to a guest that your opponent is waiting on so that they can't serve them any more apps or entrees? Do you give it to the guy at the end to turn his two courses into three? Or do you serve it to the girl with the sweet tooth who will tip more for it?",https://www.pnparcade.com/products/the-lucky-penny-diner,,54 cards,16 counters (pennies are ideal),English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/rLiKBwFT9pXwEf6oKX3y.jpg,,help@pnpfinder.com
